Country,Country_Code,Year,Arrivals_in_Thousands,Departures_in_Thousands,Expenditures_in_USD_Millions,Receipts_in_USD_Millions
Eritrea,ERI,2014,119.0,,,
Spain,ESP,2014,64939.0,11783.0,65099.0,17969.0
Estonia,EST,2014,3160.0,1426.0,2278.0,1345.0
Ethiopia,ETH,2014,770.0,,2107.0,283.0
European Union,EUU,2014,442143.0,393425.059649229,494598.0,437148.0
Fragile and conflict affected situations,FCS,2014,,,19714.9838603826,17327.9459481848
Finland,FIN,2014,2731.0,8731.0,5407.0,6324.0
Fiji,FJI,2014,693.0,,1034.0,99.0
France,FRA,2014,83701.0,27919.0,67382.0,58446.0
Faroe Islands,FRO,2014,,,,
"Micronesia, Fed. Sts.",FSM,2014,35.4,,29.0,29.0
Gabon,GAB,2014,,,,
United Kingdom,GBR,2014,32613.0,60082.0,63035.0,85921.0
Georgia,GEO,2014,5004.0,3106.0,1972.0,563.0
Ghana,GHA,2014,825.0,,1027.0,947.0
Gibraltar,GIB,2014,,,,
Guinea,GIN,2014,33.0,,17.1,28.8
"Gambia, The",GMB,2014,156.0,,110.0,55.4
Guinea-Bissau,GNB,2014,36.1,,20.8,53.0
Equatorial Guinea,GNQ,2014,,,,
Greece,GRC,2014,22033.0,5802.0,19480.0,4001.0
Grenada,GRD,2014,150.0,,388.0,34.0
Greenland,GRL,2014,,,,
Guatemala,GTM,2014,1739.0,992.0,1564.0,1033.0
Guam,GUM,2014,1343.0,,,
Guyana,GUY,2014,206.0,,79.0,77.0
High income,HIC,2014,699593.8251992391,697312.190652455,1062426.02429967,898608.426667681
"Hong Kong SAR, China",HKG,2014,27770.0,84519.0,46079.0,22011.0
Honduras,HND,2014,868.0,557.0,706.0,437.0
Heavily indebted poor countries (HIPC),HPC,2014,19099.4953889904,,15249.899117936899,10763.762106530501
Croatia,HRV,2014,11623.0,2763.0,10079.0,865.0
Haiti,HTI,2014,465.2,,578.0,475.0
Hungary,HUN,2014,4618.0,16340.0,7483.0,2712.0
IBRD only,IBD,2014,431775.375397223,417634.90642815095,387799.571282739,497642.462851201
IDA & IBRD total,IBT,2014,486981.65328925004,541135.544604025,423956.10870038,528953.308184077
IDA total,IDA,2014,53254.0190131736,,36999.6544530442,30493.136851490002
IDA blend,IDB,2014,9139.18984098423,,8016.425580318759,15909.88099276
Indonesia,IDN,2014,9435.0,8074.0,11567.0,10263.0
IDA only,IDX,2014,44868.0603096337,,30287.2210243238,14625.224458823901
Isle of Man,IMN,2014,,,,
India,IND,2014,13107.0,18330.0,20756.0,17492.0
Not classified,INX,2014,,,,
Ireland,IRL,2014,8813.0,6676.0,11093.0,6173.0
"Iran, Islamic Rep.",IRN,2014,4968.0,7698.0,4197.0,10130.0
Iraq,IRQ,2014,,,2504.0,4394.0
Iceland,ISL,2014,997.6,400.0,1375.0,972.0
Israel,ISR,2014,2927.0,5181.0,6590.0,6534.0
Italy,ITA,2014,48576.0,26862.0,45547.0,28857.0
Jamaica,JAM,2014,2080.0,,2255.0,457.0
Jordan,JOR,2014,3990.0,1230.0,5518.0,1251.0
Japan,JPN,2014,13413.0,16903.0,20790.0,28609.0
Kazakhstan,KAZ,2014,6333.0,10230.0,1701.0,2163.0
Kenya,KEN,2014,1261.0,,1745.0,206.0
Kyrgyz Republic,KGZ,2014,3791.0,3790.0,468.0,568.0
Cambodia,KHM,2014,4503.0,956.0,3220.0,526.0
Kiribati,KIR,2014,5.0,,3.2,5.8
St. Kitts and Nevis,KNA,2014,113.0,,340.0,51.0
"Korea, Rep.",KOR,2014,14202.0,16081.0,22704.0,26136.0
Kuwait,KWT,2014,,,615.0,12280.0
Latin America & Caribbean (excluding high income),LAC,2014,71304.1,51922.230807930995,62166.5,69929.25271899029
Lao PDR,LAO,2014,3164.0,3320.0,642.4,1054.0
Lebanon,LBN,2014,1355.0,,6835.0,5198.0
Liberia,LBR,2014,,,,
Libya,LBY,2014,,,,1325.0
St. Lucia,LCA,2014,338.0,,778.0,66.0
Latin America & Caribbean,LCN,2014,89142.60186467158,59911.162020136995,87690.87471480381,78219.8200023882
Least developed countries: UN classification,LDC,2014,28687.442253992303,,22206.8031840779,10656.765244550399
Low income,LIC,2014,,,,7203.94651850176
Liechtenstein,LIE,2014,53.7,,,
Sri Lanka,LKA,2014,1527.0,1311.0,3278.0,1922.0
Lower middle income,LMC,2014,109787.88927708499,111775.81101386399,89079.2838891348,78111.7495273683
Low & middle income,LMY,2014,455227.852105325,486100.46808746905,390445.87481131,515092.410310279
Lesotho,LSO,2014,1079.0,,16.0,177.0
Late-demographic dividend,LTE,2014,276843.451847153,313399.67574445804,274548.33443665196,442465.58300368395
Lithuania,LTU,2014,2063.0,1789.0,1383.0,1058.0
Luxembourg,LUX,2014,1038.0,1815.0,6024.0,3355.0
Latvia,LVA,2014,1843.0,1846.0,1298.0,887.0
"Macao SAR, China",MAC,2014,14566.0,1537.0,43303.0,1344.0
St. Martin (French part),MAF,2014,,,,
Morocco,MAR,2014,10283.0,1850.0,9070.0,2273.0
Monaco,MCO,2014,329.0,,,
Moldova,MDA,2014,93.9,180.6,328.0,442.0
Madagascar,MDG,2014,222.0,,740.0,317.0
Maldives,MDV,2014,1205.0,,2811.0,271.0
Middle East & North Africa,MEA,2014,89847.0514495251,,91190.7204482883,106945.69279042199
Mexico,MEX,2014,29346.0,18261.0,16606.0,12556.0
Marshall Islands,MHL,2014,4.9,,5.4,23.8
Middle income,MIC,2014,432015.411516029,434193.286311256,376750.540420296,506932.316411765
North Macedonia,MKD,2014,425.0,,298.0,186.0
Mali,MLI,2014,168.0,,214.0,231.0
Malta,MLT,2014,1690.0,391.0,1521.0,397.0
Myanmar,MMR,2014,3081.0,,1687.0,119.0
Middle East & North Africa (excluding high income),MNA,2014,48665.694407843795,,43205.81709082,30365.6600870695
Montenegro,MNE,2014,1350.0,,959.0,79.0
Mongolia,MNG,2014,393.0,,257.0,529.0
Northern Mariana Islands,MNP,2014,455.0,,,
Mozambique,MOZ,2014,1661.0,,225.0,331.0
Mauritania,MRT,2014,,,42.0,112.0
Mauritius,MUS,2014,1038.0,223.0,1719.0,503.0
Malawi,MWI,2014,819.0,,36.0,106.0
Malaysia,MYS,2014,27437.0,,22600.0,12442.0
North America,NAC,2014,91783.0,101722.290115645,257199.0,182605.0
Namibia,NAM,2014,1320.0,,552.0,67.0
New Caledonia,NCL,2014,107.0,124.0,287.0,328.0
Niger,NER,2014,135.0,,100.0,129.0
Nigeria,NGA,2014,,,600.0,9123.0
Nicaragua,NIC,2014,1330.0,959.0,446.0,286.0
Netherlands,NLD,2014,13925.0,17928.0,19669.0,23655.0
Norway,NOR,2014,4855.0,9190.0,7503.0,20166.0
Nepal,NPL,2014,790.0,,511.0,680.0
Nauru,NRU,2014,,,,
New Zealand,NZL,2014,2772.0,2276.0,8575.0,4108.0
OECD members,OED,2014,630272.6,572772.204690763,911390.0,771912.0
Oman,OMN,2014,1611.0,3358.0,1971.0,2081.0
Other small states,OSS,2014,35374.631292896,,,22950.4891528963
Pakistan,PAK,2014,,,971.0,2209.0
Panama,PAN,2014,1745.0,853.0,5749.0,1147.0
Peru,PER,2014,3215.0,2442.0,3907.0,2119.0
Philippines,PHL,2014,4833.0,3488.0,6059.0,11130.0
Palau,PLW,2014,140.0,,131.0,17.2
Papua New Guinea,PNG,2014,182.0,,2.8,168.0
Poland,POL,2014,16000.0,35400.0,12924.0,9540.0
Pre-demographic dividend,PRE,2014,16076.3858983648,,16183.4556536949,22631.300555792703
Puerto Rico,PRI,2014,3246.0,793.0,3439.0,1088.0
"Korea, Dem. People’s Rep.",PRK,2014,,,,
Portugal,PRT,2014,10497.0,1628.0,17718.0,5380.0
Paraguay,PRY,2014,649.0,426.0,314.0,449.0
West Bank and Gaza,PSE,2014,556.0,,412.0,520.0
Pacific island small states,PSS,2014,1184.83644800509,,1752.0000222750098,328.27206264191
Post-demographic dividend,PST,2014,619423.9,619811.958866943,947674.0,782809.930490755
French Polynesia,PYF,2014,181.0,48.0,835.0,312.0
Qatar,QAT,2014,2839.2,,10576.0,12871.0
Romania,ROU,2014,8442.0,12299.0,2225.0,2636.0
Russian Federation,RUS,2014,32421.0,45889.0,19451.0,55383.0
Rwanda,RWA,2014,926.0,,376.0,133.0
South Asia,SAS,2014,18915.3331099502,25431.1299501325,28722.0,23541.0
Saudi Arabia,SAU,2014,18260.0,19824.49,9263.0,25137.0
Sudan,SDN,2014,684.0,,967.0,439.0
Senegal,SEN,2014,963.0,,481.0,279.0
Singapore,SGP,2014,11864.0,8903.0,19161.0,25519.0
Solomon Islands,SLB,2014,20.1,,64.8,65.6
Sierra Leone,SLE,2014,44.0,93.0,35.0,45.0
El Salvador,SLV,2014,1345.0,1515.0,1285.0,277.0
San Marino,SMR,2014,75.0,,,
Somalia,SOM,2014,,,,
Serbia,SRB,2014,1029.0,,1352.0,1360.0
Sub-Saharan Africa (excluding high income),SSA,2014,36536.409785816795,,31995.8463630148,27553.9871827828
South Sudan,SSD,2014,,,0.8,38.0
Sub-Saharan Africa,SSF,2014,36778.822958914105,,32509.4633888279,27617.9637905924
Small states,SST,2014,42490.5992989166,,,24514.9834457695
Sao Tome and Principe,STP,2014,,,56.1,18.0
Suriname,SUR,2014,252.0,,103.0,90.0
Slovak Republic,SVK,2014,1475.0,2406.0,2642.0,2581.0
Slovenia,SVN,2014,2411.0,2642.0,2944.0,1149.0
Sweden,SWE,2014,5660.0,,11846.0,15823.0
Eswatini,SWZ,2014,939.0,1657.0,15.6,62.0
Sint Maarten (Dutch part),SXM,2014,500.0,,922.0,117.0
Seychelles,SYC,2014,233.0,50.0,480.0,65.0
Syrian Arab Republic,SYR,2014,,,,
Turks and Caicos Islands,TCA,2014,357.0,,599.0,6.7
Chad,TCD,2014,119.0,,,
East Asia & Pacific (IDA & IBRD countries),TEA,2014,142574.36451030502,157724.133751546,141311.431341473,275468.935354332
Europe & Central Asia (IDA & IBRD countries),TEC,2014,162920.812118236,181962.55349879302,106155.21823648301,95510.0877163739
Togo,TGO,2014,282.0,,233.0,60.0
Thailand,THA,2014,24810.0,6444.0,42047.0,8824.0
Tajikistan,TJK,2014,213.0,19.0,220.2,
Turkmenistan,TKM,2014,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,2014,77198.1,58501.9720117351,72619.5,74683.0
Timor-Leste,TLS,2014,60.0,,35.0,84.0
Middle East & North Africa (IDA & IBRD countries),TMN,2014,48100.5552003103,,42805.9397088283,29827.0685735829
Tonga,TON,2014,50.4,,38.3,30.1
South Asia (IDA & IBRD),TSA,2014,18915.3331099502,25431.1299501325,28722.0,23541.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,2014,36778.822958914105,,32509.4633888279,27617.9637905924
Trinidad and Tobago,TTO,2014,412.0,,875.0,168.0
Tunisia,TUN,2014,7163.0,2637.0,3042.0,770.0
Turkey,TUR,2014,39811.0,7982.0,38855.0,5475.0
Tuvalu,TUV,2014,1.4,,,
Tanzania,TZA,2014,1113.0,,2047.0,1206.0
Uganda,UGA,2014,1266.0,511.0,984.0,342.0
Ukraine,UKR,2014,12712.0,22438.0,2264.0,5470.0
Upper middle income,UMC,2014,322771.339383372,296288.40332199103,287628.680664503,428956.04616816
Uruguay,URY,2014,2682.0,2396.0,2029.0,1604.0
United States,USA,2014,75022.0,68185.0,235990.0,140558.0
Uzbekistan,UZB,2014,1862.0,,,
St. Vincent and the Grenadines,VCT,2014,71.0,,178.5,30.0
"Venezuela, RB",VEN,2014,857.0,1589.0,900.0,4118.0
British Virgin Islands,VGB,2014,386.0,,459.0,
Virgin Islands (U.S.),VIR,2014,615.0,,1319.0,
Vietnam,VNM,2014,7874.0,,7410.0,2650.0
Vanuatu,VUT,2014,109.0,26.0,284.0,41.0
World,WLD,2014,1159450.1563424498,1334402.13781317,1453293.53487274,1411754.49635279
Samoa,WSM,2014,120.4,57.0,147.7,4.1
Kosovo,XKX,2014,,,,
"Yemen, Rep.",YEM,2014,1017.5,,1199.0,158.0
South Africa,ZAF,2014,9549.0,,10484.0,6314.0
Zambia,ZMB,2014,947.0,,642.0,378.0
Zimbabwe,ZWE,2014,1880.0,3182.0,186.0,451.0
Aruba,ABW,2015,1225.0,,1664.0,361.0
Afghanistan,AFG,2015,,,87.0,151.0
Angola,AGO,2015,592.0,,1171.0,389.0
Albania,ALB,2015,3784.0,4504.0,1613.0,1310.0
Andorra,AND,2015,2663.0,,,
Arab World,ARB,2015,78853.81260799398,,83500.6924935984,86871.7117271772
United Arab Emirates,ARE,2015,,,17481.0,16637.0
Argentina,ARG,2015,5736.0,7807.0,5441.0,9348.0
Armenia,ARM,2015,1192.0,1187.0,956.0,1057.0
American Samoa,ASM,2015,20.3,,,
Antigua and Barbuda,ATG,2015,250.0,,805.0,95.0
Australia,AUS,2015,7450.0,9807.0,30872.0,28614.0
Austria,AUT,2015,26728.0,10628.0,20416.0,11335.0
Azerbaijan,AZE,2015,1922.0,4096.0,2535.0,2743.0
Burundi,BDI,2015,131.0,,2.2,29.0
Belgium,BEL,2015,8355.0,10835.0,13073.0,21123.0
Benin,BEN,2015,255.0,,148.0,141.0
Burkina Faso,BFA,2015,163.0,,152.0,160.0
Bangladesh,BGD,2015,,,150.3,827.0
Bulgaria,BGR,2015,7099.0,4632.0,3583.0,1346.0
Bahrain,BHR,2015,9670.0,4741.0,2372.0,942.0
"Bahamas, The",BHS,2015,1484.0,,2554.0,348.0
Bosnia and Herzegovina,BIH,2015,678.0,,702.0,195.0
Belarus,BLR,2015,4385.6,671.0,1013.0,997.0
Belize,BLZ,2015,341.0,,372.0,50.0
Bermuda,BMU,2015,220.0,,370.0,363.0
Bolivia,BOL,2015,882.0,965.0,810.0,849.0
Brazil,BRA,2015,6306.0,9384.0,6254.0,20356.0
Barbados,BRB,2015,592.0,,947.0,
Brunei Darussalam,BRN,2015,218.0,,147.0,459.0
Bhutan,BTN,2015,155.0,,120.0,44.0
Botswana,BWA,2015,1528.0,,631.3,274.4
Central African Republic,CAF,2015,120.5,,,
Canada,CAN,2015,17971.0,32267.0,19256.0,36372.0
Central Europe and the Baltics,CEB,2015,70961.0,98234.0,49223.0,26661.0
Switzerland,CHE,2015,9305.0,13601.0,19639.0,18761.0
Channel Islands,CHI,2015,,,,
Chile,CHL,2015,4478.0,3359.0,3412.0,2518.0
China,CHN,2015,56886.0,127860.0,44969.0,249831.0
Cote d'Ivoire,CIV,2015,1441.0,,214.0,560.0
Cameroon,CMR,2015,897.0,,476.0,742.0
"Congo, Dem. Rep.",COD,2015,354.0,356.0,0.1,127.0
"Congo, Rep.",COG,2015,363.0,,46.9,557.0
Colombia,COL,2015,2978.0,3862.0,5235.0,4820.0
Comoros,COM,2015,23.6,,,
Cabo Verde,CPV,2015,520.0,,380.0,109.0
Costa Rica,CRI,2015,2660.0,919.0,3408.0,898.0
Caribbean small states,CSS,2015,6437.0,,10009.1,1714.15901814301
Cuba,CUB,2015,3506.0,580.0,2819.0,
Curacao,CUW,2015,468.0,,712.0,418.0
Cayman Islands,CYM,2015,385.0,,655.0,183.0
Cyprus,CYP,2015,2659.0,1119.0,2481.0,1439.0
Czech Republic,CZE,2015,8707.0,5856.0,6766.0,4819.0
Germany,DEU,2015,34970.0,83737.0,50652.0,85308.0
Djibouti,DJI,2015,,,30.9,35.1
Dominica,DMA,2015,75.0,,202.0,30.0
Denmark,DNK,2015,10424.0,8991.0,6685.0,8918.0
Dominican Republic,DOM,2015,5600.0,478.0,6116.0,803.0
Algeria,DZA,2015,1710.0,3638.0,347.0,762.0
East Asia & Pacific (excluding high income),EAP,2015,152894.80444866596,175040.113054249,145413.710785331,298734.679276597
Early-demographic dividend,EAR,2015,225080.17063637203,177456.757128347,191406.02129747102,143775.311759271
East Asia & Pacific,EAS,2015,263420.55219695496,357635.72746412,341322.505041764,448204.522206626
Europe & Central Asia (excluding high income),ECA,2015,137047.413004276,129938.02383577099,71034.791784625,66316.0763808384
Europe & Central Asia,ECS,2015,603880.5141466861,566873.6174612,546422.246035779,491081.34894573496
Ecuador,ECU,2015,1544.0,1398.0,1557.0,994.0
"Egypt, Arab Rep.",EGY,2015,9139.0,,6897.0,3636.0
Euro area,EMU,2015,352907.0,235717.214620852,330735.0,258451.0
Eritrea,ERI,2015,114.0,,,
Spain,ESP,2015,68175.0,14407.0,56532.0,17347.0
Estonia,EST,2015,2961.0,1250.0,1885.0,1169.0
Ethiopia,ETH,2015,864.0,,2279.0,372.0
European Union,EUU,2015,463726.0,415826.094126207,453929.0,392044.0
Fragile and conflict affected situations,FCS,2015,,,21048.715548099,17900.0504760554
Finland,FIN,2015,2622.0,8904.0,4009.0,5785.0
Fiji,FJI,2015,755.0,,1038.0,115.0
France,FRA,2015,84452.0,26648.0,66419.0,47697.0
Faroe Islands,FRO,2015,,,,
"Micronesia, Fed. Sts.",FSM,2015,31.2,,25.0,
Gabon,GAB,2015,,,,
United Kingdom,GBR,2015,34436.0,65720.0,65454.0,90021.0
Georgia,GEO,2015,5256.0,3136.0,2049.0,609.0
Ghana,GHA,2015,897.0,,911.0,1405.0
Gibraltar,GIB,2015,,,,
Guinea,GIN,2015,35.0,,27.0,38.0
"Gambia, The",GMB,2015,135.0,,121.0,57.4
Guinea-Bissau,GNB,2015,43.8,,17.3,53.0
Equatorial Guinea,GNQ,2015,,,,
Greece,GRC,2015,23599.0,6291.0,17260.0,3537.0
Grenada,GRD,2015,155.0,,422.0,38.0
Greenland,GRL,2015,,,,
Guatemala,GTM,2015,1865.0,1130.0,1580.0,1004.0
Guam,GUM,2015,1409.0,,,
Guyana,GUY,2015,207.0,,65.0,93.0
High income,HIC,2015,733056.3747656139,735426.213941591,1021578.50421475,842561.6193945891
"Hong Kong SAR, China",HKG,2015,26686.0,89082.0,42229.0,23059.0
Honduras,HND,2015,880.0,692.0,671.0,454.0
Heavily indebted poor countries (HIPC),HPC,2015,20586.286328849597,,15056.6793997558,10970.0512599779
Croatia,HRV,2015,12683.0,2578.0,9018.0,770.0
Haiti,HTI,2015,516.0,,609.0,503.0
Hungary,HUN,2015,4929.0,17276.0,6929.0,2456.0
IBRD only,IBD,2015,443768.839391712,439308.53345754097,376734.814538303,491794.69829403004
IDA & IBRD total,IBT,2015,502712.872970714,568921.768333747,411758.75026483706,524481.518352946
IDA total,IDA,2015,57338.593490464795,,35828.7866311926,32060.2632439969
IDA blend,IDB,2015,9505.62759228086,,7539.5731069373705,16547.090146683902
Indonesia,IDN,2015,10407.0,8176.0,12054.0,9800.0
IDA only,IDX,2015,48714.709157828496,,29603.3241293016,15575.1344349394
Isle of Man,IMN,2015,,,,
India,IND,2015,13284.0,20376.0,21472.0,17686.0
Not classified,INX,2015,,,,
Ireland,IRL,2015,9528.0,7094.0,11476.0,5789.0
"Iran, Islamic Rep.",IRN,2015,5237.0,6620.0,4771.0,9658.0
Iraq,IRQ,2015,,,4076.0,4966.0
Iceland,ISL,2015,1289.0,450.0,1618.0,998.0
Israel,ISR,2015,2799.0,5891.0,6574.0,7506.0
Italy,ITA,2015,50732.0,27494.0,39420.0,24417.0
Jamaica,JAM,2015,2123.0,,2401.0,413.0
Jordan,JOR,2015,3761.0,,4968.0,1267.0
Japan,JPN,2015,19737.0,16214.0,27285.0,23252.0
Kazakhstan,KAZ,2015,6430.0,,1734.0,2155.0
Kenya,KEN,2015,1114.0,,1596.0,217.0
Kyrgyz Republic,KGZ,2015,4000.0,4008.0,482.0,535.0
Cambodia,KHM,2015,4775.0,1194.0,3418.0,641.0
Kiribati,KIR,2015,3.9,,1.8,5.4
St. Kitts and Nevis,KNA,2015,122.0,,312.0,52.0
"Korea, Rep.",KOR,2015,13232.0,19310.0,19055.0,27957.0
Kuwait,KWT,2015,,,931.0,13148.0
Latin America & Caribbean (excluding high income),LAC,2015,76363.0,55954.865955999296,64684.1,61322.6691247758
Lao PDR,LAO,2015,3543.0,3067.0,725.0,1002.0
Lebanon,LBN,2015,1518.0,,7087.0,5187.0
Liberia,LBR,2015,,,,
Libya,LBY,2015,,,,1066.0
St. Lucia,LCA,2015,345.0,,810.0,76.0
Latin America & Caribbean,LCN,2015,96162.8564003843,63829.1400991544,90988.8414624457,69401.6849054433
Least developed countries: UN classification,LDC,2015,30248.2440567976,,21402.9775158871,10969.0998598938
Low income,LIC,2015,,,,7898.49380144697
Liechtenstein,LIE,2015,48.6,,,
Sri Lanka,LKA,2015,1798.0,1356.0,3978.0,2152.0
Lower middle income,LMC,2015,112689.61429574,120021.11753233601,86018.9891444427,80245.0097673573
Low & middle income,LMY,2015,468197.35234269407,502243.23291364807,380881.55251329206,512021.70657502004
Lesotho,LSO,2015,1082.0,,34.0,180.0
Late-demographic dividend,LTE,2015,288438.798581275,326309.845886813,271511.474377489,434586.9935952
Lithuania,LTU,2015,2071.0,1860.0,1310.0,1131.0
Luxembourg,LUX,2015,1090.0,1702.0,4760.0,2873.0
Latvia,LVA,2015,2024.0,1720.0,1279.0,801.0
"Macao SAR, China",MAC,2015,14308.0,1466.0,31500.0,1336.0
St. Martin (French part),MAF,2015,,,,
Morocco,MAR,2015,10177.0,1910.0,7765.0,2155.0
Monaco,MCO,2015,331.0,,,
Moldova,MDA,2015,94.4,189.8,300.0,370.0
Madagascar,MDG,2015,244.0,,696.0,240.0
Maldives,MDV,2015,1234.0,,2691.0,309.0
Middle East & North Africa,MEA,2015,85021.4710189445,,95065.9308106768,103801.440526797
Mexico,MEX,2015,32093.0,19603.0,18729.0,12668.0
Marshall Islands,MHL,2015,6.3,,5.1,26.2
Middle income,MIC,2015,445355.038472169,448668.604672536,368422.04074079206,503355.299821812
North Macedonia,MKD,2015,486.0,,268.0,189.0
Mali,MLI,2015,159.3,,186.0,150.0
Malta,MLT,2015,1783.0,428.0,1381.0,368.0
Myanmar,MMR,2015,4681.0,,2199.0,146.0
Middle East & North Africa (excluding high income),MNA,2015,44464.421800972996,,40201.3523994422,30335.413203779997
Montenegro,MNE,2015,1560.0,,947.0,68.0
Mongolia,MNG,2015,386.0,,279.0,473.0
Northern Mariana Islands,MNP,2015,475.1,,,
Mozambique,MOZ,2015,1552.0,,202.0,322.0
Mauritania,MRT,2015,,,31.0,73.0
Mauritius,MUS,2015,1151.0,242.0,1680.0,616.0
Malawi,MWI,2015,805.0,,39.0,120.0
Malaysia,MYS,2015,25721.0,,17666.0,10708.0
North America,NAC,2015,95965.0,106478.192001527,268809.0,186779.0
Namibia,NAM,2015,1388.0,,540.0,72.0
New Caledonia,NCL,2015,114.0,127.0,246.0,253.0
Niger,NER,2015,135.0,,80.0,140.0
Nigeria,NGA,2015,1255.0,,472.0,9255.0
Nicaragua,NIC,2015,1386.0,925.0,528.0,273.0
Netherlands,NLD,2015,15007.0,18070.0,17558.0,20234.0
Norway,NOR,2015,5361.0,8750.0,6370.0,16485.0
Nepal,NPL,2015,539.0,,509.0,669.0
Nauru,NRU,2015,,,,
New Zealand,NZL,2015,3039.0,2412.0,9452.0,3721.0
OECD members,OED,2015,664177.0,605411.643125654,882411.0,720370.0
Oman,OMN,2015,1909.0,3838.0,2247.0,2208.0
Other small states,OSS,2015,35062.6819732661,,,21213.709807436902
Pakistan,PAK,2015,,,915.0,2642.0
Panama,PAN,2015,2110.0,740.0,5754.0,1272.0
Peru,PER,2015,3456.0,2595.0,4140.0,2527.0
Philippines,PHL,2015,5361.0,5115.0,6415.0,11868.0
Palau,PLW,2015,162.0,,156.0,21.9
Papua New Guinea,PNG,2015,185.0,,1.7,135.0
Poland,POL,2015,16728.0,44300.0,11355.0,8523.0
Pre-demographic dividend,PRE,2015,17126.3724474353,,16702.8454270392,23340.8311303251
Puerto Rico,PRI,2015,3542.0,746.0,3825.0,977.0
"Korea, Dem. People’s Rep.",PRK,2015,,,,
Portugal,PRT,2015,11723.0,1893.0,15823.0,4782.0
Paraguay,PRY,2015,1215.0,1008.0,348.0,494.0
West Bank and Gaza,PSE,2015,432.0,,312.0,610.0
Pacific island small states,PSS,2015,1259.76761028143,,1743.22691291977,341.902340190544
Post-demographic dividend,PST,2015,647527.6,645776.66264589,900282.0,730660.24992971
French Polynesia,PYF,2015,184.0,55.0,758.0,277.0
Qatar,QAT,2015,2941.1,,12131.0,11641.0
Romania,ROU,2015,9331.0,13118.0,2097.0,2330.0
Russian Federation,RUS,2015,33729.0,34550.0,13204.0,38434.0
Rwanda,RWA,2015,987.0,,457.0,295.0
South Asia,SAS,2015,19195.1924710806,28138.5528270597,29922.3,24480.0
Saudi Arabia,SAU,2015,17994.0,20819.0,11183.0,20366.0
Sudan,SDN,2015,741.0,,949.0,195.0
Senegal,SEN,2015,1006.6,,,
Singapore,SGP,2015,12051.0,9125.0,16617.0,23702.0
Solomon Islands,SLB,2015,21.6,,60.0,60.7
Sierra Leone,SLE,2015,24.0,61.0,37.0,34.0
El Salvador,SLV,2015,1402.0,1618.0,1203.0,332.0
San Marino,SMR,2015,54.0,,,
Somalia,SOM,2015,,,,
Serbia,SRB,2015,1132.0,,1322.0,1254.0
Sub-Saharan Africa (excluding high income),SSA,2015,36896.6774147775,,29381.774081736,27993.3438707805
South Sudan,SSD,2015,,,22.0,539.0
Sub-Saharan Africa,SSF,2015,37185.08857027079,,29899.612975739103,28045.3342315895
Small states,SST,2015,42500.2245950254,,,22966.5845976151
Sao Tome and Principe,STP,2015,25.6,,62.5,22.1
Suriname,SUR,2015,228.0,,99.0,128.0
Slovak Republic,SVK,2015,1721.0,2777.0,2480.0,2265.0
Slovenia,SVN,2015,2707.0,2867.0,2521.0,1051.0
Sweden,SWE,2015,6482.0,,11307.0,14410.0
Eswatini,SWZ,2015,873.0,1713.0,14.2,64.0
Sint Maarten (Dutch part),SXM,2015,505.0,,913.0,118.0
Seychelles,SYC,2015,276.0,56.0,483.0,54.0
Syrian Arab Republic,SYR,2015,,,,
Turks and Caicos Islands,TCA,2015,386.0,,634.0,6.7
Chad,TCD,2015,120.0,,,
East Asia & Pacific (IDA & IBRD countries),TEA,2015,151129.01038191,172853.20137467302,145386.312986541,298189.904586554
Europe & Central Asia (IDA & IBRD countries),TEC,2015,166655.19644337698,182606.73559546997,91445.3073059883,75441.2924980672
Togo,TGO,2015,273.0,,212.0,53.0
Thailand,THA,2015,29923.0,6794.0,48527.0,9539.0
Tajikistan,TJK,2015,414.0,16.0,146.0,
Turkmenistan,TKM,2015,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,2015,83030.0,62221.4819028728,75027.1,66013.0
Timor-Leste,TLS,2015,62.0,,51.0,100.0
Middle East & North Africa (IDA & IBRD countries),TMN,2015,44037.8781657308,,39904.3521211354,29706.4474269919
Tonga,TON,2015,53.8,,46.4,32.4
South Asia (IDA & IBRD),TSA,2015,19195.1924710806,28138.5528270597,29922.3,24480.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,2015,37185.08857027079,,29899.612975739103,28045.3342315895
Trinidad and Tobago,TTO,2015,440.0,,809.0,253.0
Tunisia,TUN,2015,5359.0,,1869.0,767.0
Turkey,TUR,2015,39478.0,8751.0,35597.0,5683.0
Tuvalu,TUV,2015,2.4,,,
Tanzania,TZA,2015,1104.0,,1924.0,1329.0
Uganda,UGA,2015,1303.0,523.0,1046.0,278.0
Ukraine,UKR,2015,12428.0,23142.0,1662.0,5408.0
Upper middle income,UMC,2015,333226.656391114,302951.93553799996,282357.449432144,423250.77720788
Uruguay,URY,2015,2773.0,2217.0,2070.0,1388.0
United States,USA,2015,77774.0,74191.0,249183.0,150044.0
Uzbekistan,UZB,2015,1918.0,,,
St. Vincent and the Grenadines,VCT,2015,75.0,,211.1,35.0
"Venezuela, RB",VEN,2015,789.0,1539.0,654.0,3249.0
British Virgin Islands,VGB,2015,393.0,,484.0,
Virgin Islands (U.S.),VIR,2015,642.0,,1324.0,
